Stock_market,Index,Highest,lowest
紐西蘭,11878.49,11889.12,11762.28
澳洲,7861.00,7891.20,7847.70
日經225,38001.00,38638.50,37968.50
東證股價,2663.31,2704.90,2663.31
東證100,1829.88,1857.94,1829.88
東證500,2083.71,2116.85,2083.71
東證1000,2521.02,2560.58,2521.02
韓國,2584.29,2626.63,2584.29
台灣加權,20213.33,-,-
台灣店頭,250.33,250.41,245.81
台灣50,15839.53,15892.41,15597.84
上海綜合,3071.38,3071.38,3002.06
上海A股,3219.94,3219.94,3147.23
上海B股,256.47,256.48,252.15
深圳A股,1778.96,1778.96,1712.84
深圳B股,1068.68,1068.68,1059.83
滬深300,3565.4,3565.94,3498.03
深證成指,9381.77,9381.77,9148.82
中小板指,5751.54,5751.54,5613.85
創業板指,1797.31,1797.55,1759.51
富時中國 A50,12259.62,12266.31,12078.18
香港恆生,16251.84,16316.69,16155.83
香港國企,5749.69,5776.56,5714.17
香港紅籌,3431.77,3438.55,3404.88
恆生科技,3340.22,3374.51,3306.29
香港創業板,15.89,15.89,15.5
越南,1193.01,1221.47,1193.01
印度,72943.68,73135.43,72685.03
印尼,7163.11,7234.37,7159.68
菲律賓,6450.04,6497.82,6424.81
馬來西亞,1540.42,1541.88,1532.95
泰國,1366.94,1380.12,1363.44
新加坡,3154.69,3255.33,3154.69
